FID_riv1	FID_reach_	length_int
23	109401	266.10600000000
23	109402	31.41740000000
23	110176	266.27400000000
23	110177	31.41730000000
23	110951	240.84300000000
23	111725	214.13500000000
23	112499	75.28340000000
23	112500	166.71600000000
23	113274	203.39700000000
23	114048	253.45200000000
23	114822	130.40600000000
23	114823	101.09300000000
23	115597	256.84800000000
23	116371	106.69200000000
23	116372	181.65600000000
23	117146	208.11700000000
23	117920	223.38200000000
23	118694	49.91970000000
23	118695	192.08000000000
23	119469	236.14900000000
23	120243	32.05580000000
23	120244	205.29400000000
23	121018	254.83700000000
23	121792	0.15360700000
23	121793	297.53800000000
23	122567	0.15351500000
23	122568	251.16400000000
23	123342	122.57400000000
23	123343	175.14300000000
23	124117	209.09500000000
23	124118	31.74870000000
23	124892	166.04700000000
24	107884	110.88700000000
24	107885	204.35800000000
24	107886	243.83600000000
24	108655	263.23300000000
24	108656	200.00000000000
24	108657	200.00000000000
24	108658	141.60300000000
24	108660	127.42800000000
24	108661	209.64700000000
24	109428	273.73300000000
24	109429	25.11450000000
24	109434	136.56400000000
24	109435	190.34800000000
24	110201	273.73300000000
24	110202	25.11450000000
24	110209	301.39500000000
24	110974	273.73300000000
24	110975	25.11450000000
24	110983	12.44230000000
24	110984	390.34800000000
24	110986	170.38700000000
24	111747	242.23400000000
24	111748	25.11450000000
24	111758	12.44230000000
24	111759	333.25700000000
24	111760	151.64600000000
24	111761	319.88300000000
24	112521	200.00000000000
24	112535	57.55900000000
24	112536	200.00000000000
24	112537	200.00000000000
24	112538	200.00000000000
24	112539	200.00000000000
24	112540	276.04600000000
24	112541	200.00000000000
24	112542	301.39500000000
24	112543	111.27700000000
24	113294	60.73930000000
24	113295	191.76000000000
24	113317	190.11800000000
24	113318	318.04600000000
24	113319	245.28600000000
24	114067	61.89520000000
24	114068	236.95200000000
24	114840	63.05110000000
24	114841	235.79600000000
24	115613	64.13590000000
24	115614	234.64100000000
24	116386	64.13590000000
24	116387	233.55600000000
24	117154	48.01900000000
24	117155	236.05200000000
24	117156	301.39500000000
24	117157	36.16780000000
24	117158	142.80500000000
24	117159	200.16800000000
